controller,cell,time_s,pack_current_A,balancing_current_A,cell_current_A,voltage_V,soc,positive_gradient_mol_m3,total_overpotential_V
Electrochemical,Cell 3,2500.0,1.25,-0.25,1.0,3.7494935948306916,0.5267375886524847,640.1373641056903,-0.040145565154865316
Electrochemical,Cell 4,2500.0,1.25,0.0,1.25,3.7494467096719624,0.5545510662177363,2316.1682121857525,-0.026496988768362408
Electrochemical,Cell 1,2510.0,1.25,0.25,1.5,3.741801584717337,0.5540277777777741,2373.486107531824,-0.023357458244161373
Electrochemical,Cell 2,2510.0,1.25,0.0,1.25,3.740006775048007,0.5382029478458072,1768.9042475078568,-0.030099177601123683
Electrochemical,Cell 3,2510.0,1.25,-0.25,1.0,3.7489787654467377,0.5261465721040213,643.9046089197454,-0.040147490684498556
Electrochemical,Cell 4,2510.0,1.25,0.0,1.25,3.749237409094042,0.553849607182944,2289.3216556702682,-0.026949162889686785
Electrochemical,Cell 1,2520.0,1.25,0.25,1.5,3.740631206456722,0.5531944444444408,2406.0478990676347,-0.02295807718223953
Electrochemical,Cell 2,2520.0,1.25,0.0,1.25,3.739320798651104,0.5374943310657619,1772.552264782833,-0.03009891860907738
Electrochemical,Cell 3,2520.0,1.25,-0.25,1.0,3.7484665100074874,0.5255555555555579,647.5532391048191,-0.04014945341313222
Electrochemical,Cell 4,2520.0,1.25,0.0,1.25,3.748971541383007,0.5531481481481516,2264.0584324392576,-0.027344676707617133
Electrochemical,Cell 1,2530.0,1.25,0.25,1.5,3.7395103212601914,0.5523611111111074,2436.924171459775,-0.022608344940936838
Electrochemical,Cell 2,2530.0,1.25,0.0,1.25,3.7386351095071912,0.5367857142857166,1776.1229152477208,-0.03009869676327992
Electrochemical,Cell 3,2530.0,1.25,-0.25,1.0,3.747956382944082,0.5249645390070945,651.1218307640775,-0.04015145362376118
Electrochemical,Cell 4,2530.0,1.25,0.0,1.25,3.748655738130921,0.5524466891133593,2240.3231062736213,-0.027690617545006832
Electrochemical,Cell 1,2540.0,1.25,0.25,1.5,3.73843300281088,0.5515277777777741,2466.1780831441292,-0.022302060106313817
Electrochemical,Cell 2,2540.0,1.25,0.0,1.25,3.737950089816259,0.5360770975056713,1779.588411588251,-0.03009851192050875
Electrochemical,Cell 3,2540.0,1.25,-0.25,1.0,3.747448673615276,0.5243735224586311,654.5877568639216,-0.040153491167052434
Electrochemical,Cell 4,2540.0,1.25,0.0,1.25,3.7482965411250833,0.5517452300785669,2217.9995108722687,-0.02799318659588071
Electrochemical,Cell 1,2550.0,1.25,0.25,1.5,3.737393808084917,0.5506944444444407,2493.8939115247304,-0.02203379648773365
Electrochemical,Cell 2,2550.0,1.25,0.0,1.25,3.737265773325956,0.535368480725626,1782.9487538044777,-0.03009836406589624
Electrochemical,Cell 3,2550.0,1.25,-0.25,1.0,3.746943425423774,0.5237825059101677,657.9487400744913,-0.040155566037161805
Electrochemical,Cell 4,2550.0,1.25,0.0,1.25,3.747899393575838,0.5510437710437746,2197.0033689267398,-0.02825780998250087
Electrochemical,Cell 1,2560.0,1.25,0.25,1.5,3.7363879737481636,0.5498611111111074,2520.1512519276,-0.021798806163761127
Electrochemical,Cell 2,2560.0,1.25,0.0,1.25,3.7365821938543764,0.5346598639455807,1786.2039418963905,-0.03009825318500734
Electrochemical,Cell 3,2560.0,1.25,-0.25,1.0,3.746440653608955,0.5231914893617043,661.2047803055116,-0.04015767824484146
Electrochemical,Cell 4,2560.0,1.25,0.0,1.25,3.7474690611806936,0.5503423120089822,2177.2550852011764,-0.028489235558848313
Electrochemical,Cell 1,2570.0,1.25,0.25,1.5,3.7354113313284607,0.549027777777774,2545.025279336476,-0.02159293469857431
Electrochemical,Cell 2,2570.0,1.25,0.0,1.25,3.735899385265016,0.5339512471655354,1789.353975863989,-0.03009817926383923
Electrochemical,Cell 3,2570.0,1.25,-0.25,1.0,3.745940372593357,0.522600472813241,664.3558774717712,-0.04015982780128506
Electrochemical,Cell 4,2570.0,1.25,0.0,1.25,3.7470097168816197,0.5496408529741899,2158.6794864173366,-0.028691617694213255
Electrochemical,Cell 1,2580.0,1.25,0.25,1.5,3.7344597830408737,0.5481944444444407,2568.6281513957656,-0.021412547055817577
Electrochemical,Cell 2,2580.0,1.25,0.0,1.25,3.7352169348335136,0.5332426303854901,1792.436009466881,-0.030098142462543213
Electrochemical,Cell 3,2580.0,1.25,-0.25,1.0,3.7454422207171287,0.5220094562647776,667.4352599235663,-0.04016201495163011
Electrochemical,Cell 4,2580.0,1.25,0.0,1.25,3.746524559157037,0.5489393939393975,2141.244734323676,-0.028868591597394994
Electrochemical,Cell 1,2590.0,1.25,0.25,1.5,3.733530436090458,0.5473611111111073,2590.999300046783,-0.021254462424154977
Electrochemical,Cell 2,2590.0,1.25,0.0,1.25,3.7345351241545197,0.5325340136054448,1795.429397881715,-0.030098142675126997
Electrochemical,Cell 3,2590.0,1.25,-0.25,1.0,3.7449463693682903,0.5214184397163142,670.4291006803192,-0.04016423961445132
Electrochemical,Cell 4,2590.0,1.25,0.0,1.25,3.746017067674177,0.5482379349046052,2124.8596428680166,-0.029023337870341306
Electrochemical,Cell 1,2600.0,1.25,0.25,1.5,3.7326204962010054,0.546527777777774,2612.2020529189076,-0.02111589764598896
Electrochemical,Cell 2,2600.0,1.25,0.0,1.25,3.7338540225141355,0.5318253968253995,1798.3311840152091,-0.030098179876816962
Electrochemical,Cell 3,2600.0,1.25,-0.25,1.0,3.7444528978260863,0.5208274231678508,673.3315633804407,-0.04016650176323855
Electrochemical,Cell 4,2600.0,1.25,0.0,1.25,3.745490062563989,0.5475364758698128,2109.4594050233673,-0.029158639604882252
Electrochemical,Cell 1,2610.0,1.25,0.25,1.5,3.7317275182900578,0.5456944444444406,2632.296219439986,-0.020994417454277492
Electrochemical,Cell 2,2610.0,1.25,0.0,1.25,3.733173663670675,0.5311167800453542,1801.1413678673707,-0.03009825405697491
Electrochemical,Cell 3,2610.0,1.25,-0.25,1.0,3.743961818520125,0.5202364066193874,676.1426479561276,-0.04016880141268758
Electrochemical,Cell 4,2610.0,1.25,0.0,1.25,3.7449459995398873,0.5468350168350204,2094.984211429783,-0.029276932008372777
Electrochemical,Cell 1,2620.0,1.25,0.25,1.5,3.7308493629573554,0.5448611111111072,2651.338286291732,-0.02088789098627159
Electrochemical,Cell 2,2620.0,1.25,0.0,1.25,3.7324940813607204,0.5304081632653089,1803.859949438207,-0.030098365205390946
Electrochemical,Cell 3,2620.0,1.25,-0.25,1.0,3.7434731431107595,0.519645390070924,678.8623543433653,-0.04017113857793714
Electrochemical,Cell 4,2620.0,1.25,0.0,1.25,3.744387030551373,0.5461335578002281,2081.377575469416,-0.029380345884777528
Electrochemical,Cell 1,2630.0,1.25,0.0,1.25,3.7299838234858216,0.5440277777777739,2669.4132532235126,-0.020794453812065364
Electrochemical,Cell 2,2630.0,1.25,0.0,1.25,3.731814989781967,0.5296995464852636,1806.514695385289,-0.03009851344173876
Electrochemical,Cell 3,2630.0,1.25,-0.25,1.0,3.742986626865718,0.5190543735224606,681.5146729109424,-0.04017351344062724
Electrochemical,Cell 4,2630.0,1.25,0.25,1.5,3.743814708470591,0.5454320987654357,2068.615856889171,-0.029470745791231785
Electrochemical,Cell 1,2640.0,1.25,0.0,1.25,3.7305183085748514,0.5433333333333294,2624.056440471738,-0.02196247444774134
Electrochemical,Cell 2,2640.0,1.25,0.0,1.25,3.7311365208697307,0.5289909297052183,1809.0970512897984,-0.030098698719670223
Electrochemical,Cell 3,2640.0,1.25,-0.25,1.0,3.7425023056956026,0.5184633569739973,684.0973719823019,-0.04017592600417946
Electrochemical,Cell 4,2640.0,1.25,0.25,1.5,3.741840526367579,0.5445903479236849,2119.136864170776,-0.02829976308081623
Electrochemical,Cell 1,2650.0,1.25,0.0,1.25,3.7309062555415795,0.542638888888885,2581.286728881182,-0.02298427537072506
Electrochemical,Cell 2,2650.0,1.25,0.0,1.25,3.7304587502244475,0.528282312925173,1811.60336174861,-0.030098921015158996
