cell,time_s,current_A,voltage_V,soc,capacity_ah,contact_resistance_ohm,negative_gradient_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
Cell 3,1070.0,2.5,3.7116859230666295,0.5619030732860524,4.7,0.022,-455.3644157352792,3659.095376091682,0.04875174741373565,-0.00635852081394865,-0.0551102682276843
Cell 3,1080.0,2.5,3.71033679050636,0.560425531914894,4.7,0.022,-455.3644168301871,3662.8619167891775,0.04874690557745929,-0.006359562860768352,-0.05510646843822764
Cell 3,1090.0,2.5,3.7089888289055093,0.5589479905437356,4.7,0.022,-455.36441787948206,3666.5213963375027,0.04874228152079786,-0.006360621688824756,-0.05510290320962262
Cell 3,1100.0,2.5,3.7076421902304086,0.5574704491725772,4.7,0.022,-455.36441889187336,3670.077865828829,0.04873787504919474,-0.0063616973158447205,-0.055099572365039456
Cell 3,1110.0,2.5,3.706297132318464,0.5559929078014187,4.7,0.022,-455.3644197453468,3673.5260332908,0.04873368597735698,-0.006362789680038781,-0.05509647565739576
Cell 3,1120.0,2.5,3.7049537879052155,0.5545153664302604,4.7,0.022,-455.36442049018297,3676.8729192461105,0.04872971412921623,-0.006363898826724706,-0.05509361295594094
Cell 3,1130.0,2.5,3.7036123196653485,0.553037825059102,4.7,0.022,-455.36442114357124,3680.1231837397645,0.04872595933791899,-0.006365024784018328,-0.05509098412193732
Cell 3,1140.0,2.5,3.702272908499549,0.5515602836879436,4.7,0.022,-455.36442170412556,3683.2801557281127,0.048722421445805374,-0.006366167570651967,-0.05508858901645734
Cell 3,1150.0,2.5,3.7009357386135564,0.5500827423167852,4.7,0.022,-455.3644221704526,3686.3471641673277,0.04871910030438889,-0.006367327207477578,-0.055086427511866466
Cell 3,1160.0,2.5,3.699600996764032,0.5486052009456268,4.7,0.022,-455.3644225411408,3689.3275380137165,0.048715995774338404,-0.006368503717469833,-0.055084499491808235
Cell 3,1170.0,2.5,3.698268888138546,0.5471276595744685,4.7,0.022,-455.3644228334597,3692.222997747591,0.04871310772546112,-0.006369697110627357,-0.055082804836088475
Cell 3,1180.0,2.5,3.696939623938352,0.5456501182033101,4.7,0.022,-455.3644230702812,3695.034780178339,0.04871043603668693,-0.0063709073935840225,-0.05508134343027095
Cell 3,1190.0,2.5,3.6956136674517004,0.5441725768321517,4.7,0.022,-455.36442325302414,3697.7381167969033,0.048707980596053885,-0.006372134337574341,-0.05508011493362822
Cell 3,1200.0,2.5,3.6942908089637356,0.5426950354609933,4.7,0.022,-455.3644234102394,3700.377425843122,0.04870574130069375,-0.006373378341132301,-0.05507911964182605
Cell 3,1200.0000000000002,0.0,3.7493699286055615,0.5426950354609933,4.7,0.022,-455.3644234102394,3700.377425843122,0.0,0.0,0.0
Cell 3,1210.0,0.0,3.758120135644881,0.5426950354609933,4.7,0.022,-311.2393907310834,3331.515161919713,0.0,0.0,0.0
Cell 3,1220.0,0.0,3.7632385593991207,0.5426950354609933,4.7,0.022,-248.88018906123762,3104.2602493869526,0.0,0.0,0.0
Cell 3,1230.0,0.0,3.7668663599290872,0.5426950354609933,4.7,0.022,-203.75198556942996,2934.9438584650306,0.0,0.0,0.0
Cell 3,1240.0,0.0,3.769711834024618,0.5426950354609933,4.7,0.022,-167.90881666274072,2796.0831005395485,0.0,0.0,0.0
Cell 3,1250.0,0.0,3.7720676593074742,0.5426950354609933,4.7,0.022,-138.65685557929828,2676.3661989858447,0.0,0.0,0.0
Cell 3,1260.0,0.0,3.7740865853242656,0.5426950354609933,4.7,0.022,-114.52022931895772,2569.9049615726326,0.0,0.0,0.0
Cell 3,1270.0,0.0,3.775857296532467,0.5426950354609933,4.7,0.022,-94.54640217332417,2473.2868693314012,0.0,0.0,0.0
Cell 3,1280.0,0.0,3.777433552870142,0.5426950354609933,4.7,0.022,-78.0319811172194,2384.4486090074097,0.0,0.0,0.0
Cell 3,1290.0,0.0,3.7788541714182102,0.5426950354609933,4.7,0.022,-64.38209512228423,2301.9014604679214,0.0,0.0,0.0
Cell 3,1300.0,0.0,3.780147187563246,0.5426950354609933,4.7,0.022,-53.10299349788693,2224.5714827196825,0.0,0.0,0.0
Cell 3,1310.0,0.0,3.781332923508235,0.5426950354609933,4.7,0.022,-43.788413081041654,2151.68200538732,0.0,0.0,0.0
Cell 3,1320.0,0.0,3.7824265428950854,0.5426950354609933,4.7,0.022,-36.101648743104306,2082.655379023905,0.0,0.0,0.0
Cell 3,1330.0,0.0,3.783440231269669,0.5426950354609933,4.7,0.022,-29.760686950332456,2017.028305633452,0.0,0.0,0.0
Cell 3,1340.0,0.0,3.7843842761776765,0.5426950354609933,4.7,0.022,-24.52789282098456,1954.4098957285241,0.0,0.0,0.0
Cell 3,1350.0,0.0,3.7852665709498865,0.5426950354609933,4.7,0.022,-20.211304513330106,1894.502278504482,0.0,0.0,0.0
Cell 3,1360.0,0.0,3.7860936444118107,0.5426950354609933,4.7,0.022,-16.652930045736866,1837.0602893930918,0.0,0.0,0.0
